Time,ECG,Stethoscope
0,-0.126061,-0.00546479
0.005,-0.127473,-0.000734628
0.01,-0.128603,4.75E-05
0.015,-0.12997,-0.00460893
0.02,-0.132866,-0.00265022
0.025,-0.136241,-0.00144976
0.03,-0.137467,-0.00335651
0.035,-0.136705,-0.00689076
0.04,-0.136661,-0.00460639
0.045,-0.137546,-0.00257378
0.05,-0.137588,-0.00395187
0.055,-0.136593,-0.00620549
0.06,-0.136087,-0.00518964
0.065,-0.136631,-0.00251307
0.07,-0.13768,-0.000414702
0.075,-0.138515,-0.00268424
0.08,-0.139365,-0.000753688
0.085,-0.140834,-0.00110163
0.09,-0.142268,-0.000829291
0.095,-0.143073,-0.00137507
0.1,-0.144492,-0.00357552
0.105,-0.146973,-0.00305277
0.11,-0.14953,-0.00395334
0.115,-0.152457,-0.00546065
0.12,-0.156294,-0.00235289
0.125,-0.159643,-0.00155089
0.13,-0.161059,-0.00300278
0.135,-0.161653,-0.00536301
0.14,-0.163683,-0.00822134
0.145,-0.166873,-0.0100394
0.15,-0.168771,-0.00402878
0.155,-0.168969,-0.00111067
0.16,-0.169486,0.000560073
0.165,-0.170841,0.000991657
0.17,-0.1718,-0.00284547
0.175,-0.172879,-0.00660467
0.18,-0.175518,-0.00804535
0.185,-0.178759,-0.0033824
0.19,-0.178338,-0.00122096
0.195,-0.170586,-0.00139764
0.2,-0.156645,0.00204413
0.205,-0.140843,-0.00310834
0.21,-0.126226,-0.00531281
0.215,-0.113072,-0.00333324
0.22,-0.0988792,-0.00275411
0.225,-0.0794504,-0.00223376
0.23,-0.0516936,-6.37E-05
0.235,-0.0178552,-0.00248149
0.24,0.0145334,-0.00496872
0.245,0.0385722,-0.00632543
0.25,0.0527748,-0.00493819
0.255,0.0573908,-0.00649929
0.26,0.0513402,-0.00654946
0.265,0.0331775,-0.00116038
0.27,0.00267526,0.000484635
0.275,-0.0373514,9.83E-05
0.28,-0.0812083,0.000114436
0.285,-0.122241,-0.00258893
0.29,-0.154917,-0.00375246
0.295,-0.179151,-0.00620023
0.3,-0.198593,-0.00770157
0.305,-0.214932,-0.00484771
0.31,-0.227589,-0.00295744
0.315,-0.23717,0.000360208
0.32,-0.245952,-0.00305836
0.325,-0.254217,-0.00249716
0.33,-0.260217,-0.00519459
0.335,-0.263024,-0.00353286
0.34,-0.264253,-0.00337363
0.345,-0.265327,0.00019083
0.35,-0.265657,0.00031981
0.355,-0.264788,-0.00230275
0.36,-0.264113,-0.00624703
0.365,-0.264276,-0.00854384
0.37,-0.268495,-0.0081294
0.375,-0.284429,-0.00140723
0.38,-0.308754,0.00326555
0.385,-0.309046,-0.00160061
0.39,-0.235347,-0.006864
0.395,-0.0394302,-0.0077999
0.4,0.289928,-0.011153
0.405,0.680891,-0.00997653
0.41,1.00974,0.00110936
0.415,1.1784,0.0194381
0.42,1.1571,0.0106167
0.425,0.985006,0.00450205
0.43,0.740647,0.00127059
0.435,0.498073,-0.0128987
0.44,0.300707,-0.0476095
0.445,0.160669,-0.0234563
0.45,0.0707304,0.000857033
0.455,0.0157302,0.00808569
0.46,-0.0193132,0.0282056
0.465,-0.043578,0.0266438
0.47,-0.0604793,-0.000499832
0.475,-0.0717258,-0.0268912
0.48,-0.0791964,-0.0219102
0.485,-0.0836919,-0.00512663
0.49,-0.0843467,0.00560208
0.495,-0.0811046,-0.00153785
0.5,-0.0755171,-0.00422122
0.505,-0.0686511,0.00154634
0.51,-0.0599557,0.001209
0.515,-0.0493541,-0.00453966
0.52,-0.0379913,-0.00494909
0.525,-0.0254871,-0.00449654
0.53,-0.0103515,-0.00918072
0.535,0.00671995,-0.008145
0.54,0.0235369,-0.00607906
0.545,0.0392219,-0.00454489
0.55,0.0558457,-0.00753672
0.555,0.0750865,-0.00743157
0.56,0.0964118,0.000454192
0.565,0.119828,0.00263248
0.57,0.145931,0.00029834
0.575,0.173109,-0.0002638
0.58,0.198983,-0.00132226
0.585,0.223806,0.00103913
0.59,0.24918,0.000363315
0.595,0.274234,-0.00492719
0.6,0.296378,-0.00401458
0.605,0.314508,-0.00797802
0.61,0.32946,-0.00707346
0.615,0.341077,-0.00622296
0.62,0.347344,-0.00654218
0.625,0.347312,-0.00394593
0.63,0.340324,-0.00110909
0.635,0.323835,-0.00106809
0.64,0.29554,-0.00127736
0.645,0.256544,-4.23E-05
0.65,0.211636,0.000442913
0.655,0.165178,-0.00257854
0.66,0.119511,-0.00621426
0.665,0.0767376,-0.0048272
0.67,0.0393389,-0.00273968
0.675,0.00839616,-0.00310783
0.68,-0.0171545,-0.00183469
0.685,-0.0376904,-0.00276226
0.69,-0.0526655,-0.0047837
0.695,-0.0626837,-0.00300364
0.7,-0.0699012,-0.00455777
0.705,-0.0749928,-0.00307107
0.71,-0.0776567,-0.000121881
0.715,-0.0792102,-0.00286139
0.72,-0.0813132,-0.00628815
0.725,-0.0840353,-0.00894534
0.73,-0.0856147,-0.00727974
0.735,-0.085677,0.000577435
0.74,-0.0858439,0.0121237
0.745,-0.0863887,-0.000175079
0.75,-0.0856936,-0.0365053
0.755,-0.084178,-0.00185918
0.76,-0.0829308,0.00691055
